sample_idx,ts_utc,ms_today,speed_meters_per_sec,erpm,duty_cycle,current_in,current_motor,d_axis_current,q_axis_current,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,fault_code,d_axis_voltage,q_axis_voltage,tacho_meters,tacho_abs_meters,input_voltage,temp_mos_max,temp_motor,battery_level
0,2025-09-27 22:54:54.302000+00:00,82494302,0.0,0.0,0.001,0.09,0.27,-0.05,0.2,0.747444,0.0991167,2.4987,-0.365453,-0.28886,0.355127,-153.832,-86.9611,55.1838,0.0,-0.027,0.548,2279.66,2301.44,80.8,32.2,42.5,0.844
1,2025-09-27 22:54:54.402000+00:00,82494402,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.007582919405940594,0.3353549702970297,2.194870396039604,-0.3296590693069307,0.0015785786138613862,0.9391004059405941,0.6986392574257426,0.3858478415841584,0.3729989405940594,,0.061,0.04207920792079208,2279.66,2301.44,80.8,32.19207920792079,42.5,0.844
2,2025-09-27 22:54:54.502000+00:00,82494502,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.008312112409638554,0.33563363855421685,2.1943846987951807,-0.3263342168674699,0.002416287590361446,0.9389343493975904,0.20951693132530122,0.17853641686746988,0.16513637349397592,,0.061,0.042915662650602406,2279.66,2301.44,80.8,32.10843373493976,42.5,0.844
3,2025-09-27 22:54:54.602000+00:00,82494602,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.008313513555555556,0.33570062222222224,2.1940619999999997,-0.32511644444444443,0.0018275282222222223,0.9386257111111111,-0.01579977111111111,-0.07348247555555557,0.226845,,0.061,0.042,2279.66,2301.44,80.8,32.18222222222222,42.5,0.844
4,2025-09-27 22:54:54.702000+00:00,82494702,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.008094861703703703,0.3354532148148148,2.1938619999999998,-0.32586829629629627,0.004716187481481482,0.9382286740740741,-0.17982340074074074,-0.5928919570370371,0.142445,,0.061,0.042,2279.66,2301.44,80.8,32.10814814814815,42.5,0.844
5,2025-09-27 22:54:54.802000+00:00,82494802,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.008332704494382023,0.3351628651685393,2.193330786516854,-0.32754019101123594,0.006248750674157304,0.9378523033707865,0.23432901123595506,0.11626374606741573,0.22794283146067418,,0.061,0.042,2279.66,2301.44,80.8,32.19775280898877,42.5,0.844
6,2025-09-27 22:54:54.902000+00:00,82494902,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.008743224285714286,0.335055,2.1928685714285714,-0.3265627142857143,2.1291428571428668e-05,0.9377361428571428,0.25355937142857143,-0.06892167142857143,0.23819014285714288,,0.061142857142857145,0.042,2279.66,2301.44,80.8,32.1,42.5,0.844
7,2025-09-27 22:54:55.002000+00:00,82495002,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.009061552666666667,0.3349569333333333,2.1924217777777777,-0.3267988888888889,0.008211399333333333,0.9377679333333333,-0.024498237777777775,0.0175419,0.30475715555555555,,0.06175555555555556,0.042,2279.66,2301.44,80.8,32.1,42.5,0.844
8,2025-09-27 22:54:55.102000+00:00,82495102,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.009114511720430108,0.33484563440860216,2.191987311827957,-0.3259852903225806,0.005170775290322581,0.9378745913978495,0.07365866559139785,-0.11269925698924732,0.26856324731182796,,0.061,0.042,2279.66,2301.44,80.8,32.134408602150536,42.5,0.844
9,2025-09-27 22:54:55.202000+00:00,82495202,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.0092356,0.334681,2.19162,-0.323563,0.000635016,0.937931,0.169148,-0.158225,0.306744,,0.061,0.042,2279.66,2301.44,80.8,32.2,42.5,0.844
10,2025-09-27 22:54:55.302000+00:00,82495302,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.009410426744186047,0.3346210930232558,2.1914060465116276,-0.32294253488372093,0.0008766946511627907,0.9380048139534883,0.20644651162790698,-0.12081844186046511,0.30308860465116283,,0.061,0.042534883720930235,2279.66,2301.44,80.8,32.14651162790698,42.5,0.844
11,2025-09-27 22:54:55.402000+00:00,82495402,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.010011514516129033,0.33444448387096776,2.190929677419355,-0.32533009677419356,0.0036695145161290323,0.9380631935483871,0.6556174193548387,-0.13243229032258064,0.39980935483870966,,0.061,0.043,2279.66,2301.44,80.8,32.1,42.5,0.844
12,2025-09-27 22:54:55.502000+00:00,82495502,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.01128900843373494,0.33429124096385543,2.1902453012048193,-0.32788365060240965,0.006207798313253012,0.9382044939759037,0.7011380602409638,-0.045280443373493975,0.2995513253012048,,0.061,0.043,2279.66,2301.44,80.8,32.1,42.5,0.844
13,2025-09-27 22:54:55.602000+00:00,82495602,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.01191401304347826,0.3343878695652174,2.1897730434782607,-0.3261003043478261,0.0060548586956521745,0.9384937391304348,-0.19276043478260874,0.23510492173913042,0.07782340434782609,,0.061,0.04208695652173913,2279.66,2301.44,80.8,32.1,42.5,0.844
14,2025-09-27 22:54:55.702000+00:00,82495702,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.0116741,0.3346350882352941,2.1895979411764706,-0.3290302352941177,0.006290119117647059,0.9387026764705882,-0.12392376470588237,0.11806123823529413,0.14361380294117645,,0.06167647058823529,0.042,2279.66,2301.44,80.8,32.1,42.5,0.844
15,2025-09-27 22:54:55.802000+00:00,82495802,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.011438824210526315,0.3348440842105263,2.1893826315789475,-0.3232830842105263,0.007287066105263158,0.9387385368421053,0.029926534736842106,0.009189921052631576,0.17669985263157895,,0.06141052631578947,0.042,2279.66,2301.44,80.8,32.1,42.5,0.844
16,2025-09-27 22:54:55.902000+00:00,82495902,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.011246279761904761,0.33506713095238094,2.1890040476190475,-0.32432938095238095,0.009031058095238095,0.9386025119047618,0.036541440476190484,0.0821096619047619,0.1753732023809524,,0.061,0.042,2279.66,2301.44,80.8,32.17261904761905,42.5,0.844
17,2025-09-27 22:54:56.002000+00:00,82496002,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.011154833333333333,0.33520125,2.1887425,-0.32576458333333336,0.009428469166666667,0.9385043333333333,-0.023228958333333327,0.07966357499999999,0.18064249999999998,,0.06158333333333333,0.042,2279.66,2301.44,80.8,32.141666666666666,42.5,0.844
18,2025-09-27 22:54:56.102000+00:00,82496102,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.011045914893617021,0.3353284042553192,2.1885597872340425,-0.32579755319148934,0.008312164468085106,0.9384533404255319,-0.030029074468085108,0.05050472127659574,0.1815377659574468,,0.061680851063829784,0.042,2279.66,2301.44,80.8,32.1,42.5,0.844
19,2025-09-27 22:54:56.202000+00:00,82496202,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.01088156,0.33549717777777777,2.188386888888889,-0.3273594444444444,0.005980180666666666,0.9384271333333333,0.02419031777777778,0.05051997111111112,0.18302731111111112,,0.061,0.042,2279.66,2301.44,80.8,32.1,42.5,0.844
20,2025-09-27 22:54:56.302000+00:00,82496302,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.01082848202247191,0.3357777191011236,2.1878286516853933,-0.33021668539325844,0.0063686768539325846,0.9382063483146068,0.13335364943820224,0.06246756179775281,0.2744635393258427,,0.061157303370786516,0.042,2279.66,2301.44,80.8,32.1,42.5,0.844
21,2025-09-27 22:54:56.402000+00:00,82496402,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.010746922580645161,0.33592208602150536,2.1873817204301074,-0.3259459139784946,0.008122595483870967,0.9381202150537634,-0.03801204193548387,0.08234968817204301,0.13052994623655914,,0.061731182795698926,0.042,2279.66,2301.44,80.8,32.1,42.5,0.844
22,2025-09-27 22:54:56.502000+00:00,82496502,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.0106594,0.336042,2.18706,-0.329226,0.00700382,0.938012,0.0174481,-0.0195342,0.178089,,0.06135555555555555,0.042,2279.66,2301.44,80.8,32.1,42.5,0.844
23,2025-09-27 22:54:56.602000+00:00,82496602,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.010596298795180722,0.33598178313253013,2.186882891566265,-0.3305421686746988,0.0069948532530120485,0.9379006746987951,-0.12369623975903615,-0.01940749156626506,0.19047140963855422,,0.06149397590361445,0.042,2279.66,2301.44,80.8,32.1,42.5,0.844
24,2025-09-27 22:54:56.702000+00:00,82496702,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.010154287666666666,0.3360075666666667,2.186611666666667,-0.3285007111111111,0.005400075111111111,0.9379355666666667,-0.3152145777777778,0.20925388,0.11279928444444445,,0.061,0.042,2279.66,2301.44,80.8,32.1,42.5,0.844
25,2025-09-27 22:54:56.802000+00:00,82496802,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.009867199111111112,0.33604484444444443,2.186422,-0.32589842222222226,0.009566970666666667,0.9380002666666667,-0.1589899933333333,0.07947122222222225,0.12384508444444443,,0.061,0.042,2279.66,2301.44,80.8,32.1,42.5,0.844
26,2025-09-27 22:54:56.902000+00:00,82496902,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.009747511089108912,0.336024198019802,2.1861486138613864,-0.32592224752475246,0.010057629900990099,0.9379879801980198,-0.008085529702970294,-0.11261989306930692,0.157626,,0.061,0.041663366336633666,2279.66,2301.44,80.8,32.1,42.5,0.844
27,2025-09-27 22:54:57.002000+00:00,82497002,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.009524945375,0.33602092499999997,2.1857751249999997,-0.3277912,0.0015749037500000001,0.9380000875000001,-0.139648295,-0.01951903,0.1795742125,,0.061,0.041412500000000005,2279.66,2301.44,80.8,32.1,42.5,0.844
28,2025-09-27 22:54:57.102000+00:00,82497102,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.009046107032967033,0.3358389230769231,2.1855642857142854,-0.32669594505494504,0.0016028126373626374,0.9378599230769231,-0.1335231054945055,0.0220875978021978,0.2611808791208791,,0.061,0.042,2279.66,2301.44,80.8,32.1,42.5,0.844
