sample_idx,ts_utc,ms_today,speed_meters_per_sec,erpm,duty_cycle,current_in,current_motor,d_axis_current,q_axis_current,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,fault_code,d_axis_voltage,q_axis_voltage,tacho_meters,tacho_abs_meters,input_voltage,temp_mos_max,temp_motor,battery_level
0,2025-09-27 20:43:58.560000+00:00,74638560,0.0,0.0,-0.001,0.0,-0.03,-0.05,-0.12,0.0682242,0.332988,-2.65158,-0.323853,-0.0632092,0.937316,0.0174481,-0.0895306,0.178805,0.0,0.037,-0.054,1729.58,1740.49,81.0,28.2,30.2,0.858
1,2025-09-27 20:43:58.660000+00:00,74638660,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.08594556551724138,0.321811724137931,-2.5306286206896553,-0.3130015517241379,-0.07989169655172414,0.9402086896551725,0.24077641379310347,0.3184268965517241,0.17926710344827584,,0.005,-0.074,1729.58,1740.49,81.0,28.282758620689656,30.2,0.858
2,2025-09-27 20:43:58.760000+00:00,74638760,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.08534649787234043,0.32254748936170213,-2.5310291489361703,-0.3137364042553191,-0.08275819148936171,0.940421914893617,0.2634247659574468,0.26124017021276597,0.252314085106383,,0.005,-0.074,1729.58,1740.49,81.0,28.2,30.170212765957448,0.858
3,2025-09-27 20:43:58.860000+00:00,74638860,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.08493067272727273,0.3228498181818182,-2.5313499999999998,-0.3171239090909091,-0.07852606363636364,0.9402737272727273,0.12933026,0.18372963636363637,0.14063830909090907,,0.0051818181818181815,-0.074,1729.58,1740.49,81.0,28.2,30.11818181818182,0.858
4,2025-09-27 20:43:58.960000+00:00,74638960,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.08494794545454545,0.3228551657754011,-2.5314676470588235,-0.31622070053475937,-0.0832400743315508,0.9400464545454545,0.048207495294117636,-0.041553786096256706,0.07490392406417112,,0.005716577540106952,-0.074,1729.58,1740.49,81.0,28.2,30.171657754010695,0.858
5,2025-09-27 20:43:59.060000+00:00,74639060,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.08446729285714286,0.3228037261904762,-2.5318489285714283,-0.31642014285714287,-0.08414738214285715,0.939644,0.2598514751190476,-0.002110226190476183,0.2520124869047619,,0.005440476190476191,-0.074,1729.58,1740.49,81.0,28.25595238095238,30.14404761904762,0.858
6,2025-09-27 20:43:59.160000+00:00,74639160,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.08303423846153846,0.32278523076923077,-2.53264,-0.31566076923076924,-0.08248523076923077,0.9392281538461539,0.6051406923076923,0.025889307692307698,0.40715115384615386,,0.005692307692307693,-0.074,1729.58,1740.49,81.0,28.23076923076923,30.16923076923077,0.858
7,2025-09-27 20:43:59.260000+00:00,74639260,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.08242224893617021,0.32277557446808514,-2.5330536170212765,-0.31525144680851064,-0.08459428085106384,0.9391072765957447,0.14600619148936178,-0.19842461702127662,0.16265958723404256,,0.006,-0.074,1729.58,1740.49,81.0,28.2,30.2,0.858
8,2025-09-27 20:43:59.360000+00:00,74639360,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.08263462298850575,0.32258354022988506,-2.5331986206896553,-0.31393910344827586,-0.08571758505747126,0.9390052298850574,-0.5566406091954023,-0.22248567011494252,-0.07559461034482759,,0.006,-0.074,1729.58,1740.49,81.0,28.2,30.2,0.858
9,2025-09-27 20:43:59.460000+00:00,74639460,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.08377051555555556,0.32207595555555557,-2.5331502222222224,-0.31180315555555554,-0.08227022444444444,0.9388541111111112,-0.5697734444444444,-0.019992508888888892,-0.018681331111111116,,0.006,-0.074,1729.58,1740.49,81.0,28.2,30.15111111111111,0.858
