sample_idx,ts_utc,ms_today,speed_meters_per_sec,erpm,duty_cycle,current_in,current_motor,d_axis_current,q_axis_current,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,fault_code,d_axis_voltage,q_axis_voltage,tacho_meters,tacho_abs_meters,input_voltage,temp_mos_max,temp_motor,battery_level
0,2025-09-28 20:59:59.992000+00:00,75599992,0.0,0.0,0.001,0.98,3.89,0.01,3.29,0.0162436,0.267727,-1.83546,-0.265065,-0.0163061,0.954794,0.0113302,0.0497485,0.107644,0.0,-0.338,3.173,1163.27,1168.0,81.2,25.8,29.2,0.872
1,2025-09-28 21:00:00.092000+00:00,75600092,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.006408752,0.3271562,-0.7707914,-0.316766,-0.003568664,0.9383862,0.08766747999999999,0.24480659999999999,0.014622879999999998,,-0.0052,0.07379999999999999,1163.27,1168.0,81.2,25.8,29.2,0.872
2,2025-09-28 21:00:00.192000+00:00,75600192,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0063908279999999994,0.3272050888888889,-0.7708897111111112,-0.31840182222222224,-0.010504444444444445,0.9383697999999999,0.09517007711111111,0.10112128888888888,-0.040782804444444445,,-0.006,0.073,1163.27,1168.0,81.2,25.8,29.2,0.872
3,2025-09-28 21:00:00.292000+00:00,75600292,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.006349365106382979,0.32720051063829786,-0.7710098085106383,-0.32077431914893617,-0.010988340425531914,0.9382931276595744,0.029757368936170214,-0.17629729787234044,-0.00379622978723404,,-0.005595744680851064,0.07340425531914893,1163.27,1168.0,81.2,25.8,29.2,0.872
4,2025-09-28 21:00:00.392000+00:00,75600392,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.00644706618705036,0.3268870215827338,-0.7710907410071942,-0.32126403597122305,-0.011097525179856115,0.9380532446043165,0.09895479856115108,-0.32296025179856114,0.05574263021582734,,-0.005316546762589928,0.07368345323741007,1163.27,1168.0,81.2,25.8,29.2,0.872
5,2025-09-28 21:00:00.492000+00:00,75600492,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0064708921875000006,0.32643764583333335,-0.7711467916666667,-0.3206243125,-0.009518957291666666,0.93778290625,0.12868505208333333,-0.36308130208333333,0.09791280104166666,,-0.0059479166666666665,0.07305208333333332,1163.27,1168.0,81.2,25.8,29.2,0.872
6,2025-09-28 21:00:00.592000+00:00,75600592,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.00644367987012987,0.3257242727272727,-0.7712392597402598,-0.31761796103896106,0.0003297632467532468,0.9375851428571429,-0.2662805974025974,-0.2144279649350649,0.056218512987013,,-0.005,0.07388311688311688,1163.27,1168.0,81.2,25.8,29.2,0.872
7,2025-09-28 21:00:00.692000+00:00,75600692,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.006787889801980198,0.32595858415841583,-0.7713021287128713,-0.31642735643564357,-0.007515380891089109,0.9383382178217822,-0.16397688316831685,-0.135651399009901,0.0066420188118811885,,-0.005316831683168317,0.07331683168316831,1163.27,1168.0,81.2,25.8,29.2,0.872
8,2025-09-28 21:00:00.792000+00:00,75600792,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.007051283937007874,0.3258225354330709,-0.7713432125984252,-0.3174534803149606,-0.007971853070866142,0.9385025590551181,-0.0645196,-0.1112880472440945,0.04567451496062992,,-0.005755905511811024,0.07375590551181102,1163.27,1168.0,81.2,25.8,29.2,0.872
9,2025-09-28 21:00:00.892000+00:00,75600892,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0075110991578947375,0.32582604210526317,-0.7713213473684211,-0.3144468210526316,-0.009711094905263158,0.9387943263157895,-0.05571132210526315,0.25907812631578947,0.041111063157894735,,-0.005,0.0730421052631579,1163.27,1168.0,81.2,25.8,29.2,0.872
10,2025-09-28 21:00:00.992000+00:00,75600992,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0075768278313253015,0.3260224457831325,-0.7714517831325302,-0.31695727710843374,0.00022372330120481922,0.9390552530120482,0.1364522795180723,0.23605846385542167,0.016866767469879522,,-0.005108433734939759,0.074,1163.27,1168.0,81.2,25.8,29.2,0.872
11,2025-09-28 21:00:01.092000+00:00,75601092,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.007637986629213483,0.32610144943820224,-0.7715438651685393,-0.3198070786516854,-0.006728920674157303,0.9390323370786516,0.053817292134831454,-0.012442882022471916,0.025594949438202237,,-0.005707865168539326,0.07370786516853932,1163.27,1168.0,81.2,25.8,29.2,0.872
12,2025-09-28 21:00:01.192000+00:00,75601192,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.007741483191489361,0.3258734574468085,-0.7716266382978724,-0.3166592872340426,-0.010705666489361703,0.9388013936170213,-0.01240771170212766,-0.10467973510638298,0.1539195744680851,,-0.005,0.073,1163.27,1168.0,81.2,25.8,29.2,0.872
13,2025-09-28 21:00:01.292000+00:00,75601292,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.007840626413043478,0.3255698913043478,-0.7717164565217391,-0.3147380217391304,-0.0075205745652173915,0.9386445543478261,-0.02866906206521739,-0.11869535543478262,0.0800327097826087,,-0.005467391304347826,0.073,1163.27,1168.0,81.2,25.8,29.2,0.872
14,2025-09-28 21:00:01.392000+00:00,75601392,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.007947994772727273,0.3254699090909091,-0.7717908409090909,-0.3185198409090909,-0.01139755659090909,0.938677,0.0638236275,-0.20340365909090907,0.08965837954545455,,-0.005613636363636364,0.07338636363636364,1163.27,1168.0,81.2,25.8,29.2,0.872
15,2025-09-28 21:00:01.492000+00:00,75601492,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.007978269775280898,0.3253942359550562,-0.7718784382022471,-0.31903162921348316,-0.01241684191011236,0.9386858539325843,0.1394133415730337,-0.1300572797752809,0.1385153213483146,,-0.005213483146067416,0.074,1163.27,1168.0,81.2,25.8,29.2,0.872
16,2025-09-28 21:00:01.592000+00:00,75601592,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.007779014210526316,0.3253267894736842,-0.772045,-0.3165436315789474,-0.005078068947368421,0.9387077368421053,0.0289713052631579,0.06720656315789474,0.013453631578947366,,-0.00568421052631579,0.074,1163.27,1168.0,81.2,25.8,29.2,0.872
17,2025-09-28 21:00:01.692000+00:00,75601692,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.007821685826771653,0.3255884251968504,-0.7721323700787401,-0.3166777007874016,-0.005967822047244094,0.9389311417322834,-0.08816905511811024,0.20071587401574806,-0.006349959842519685,,-0.005275590551181103,0.074,1163.27,1168.0,81.2,25.8,29.2,0.872
18,2025-09-28 21:00:01.792000+00:00,75601792,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.008011970656934306,0.3257488321167883,-0.7721613795620438,-0.3191391824817518,-0.014307601459854014,0.9390135255474452,-0.12610809167883213,0.053240058394160586,0.04939421386861314,,-0.005941605839416058,0.074,1163.27,1168.0,81.2,25.8,29.2,0.872
19,2025-09-28 21:00:01.892000+00:00,75601892,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.00819285386861314,0.3258342335766423,-0.7722161240875912,-0.31692896350364963,-0.011765119708029199,0.939020094890511,-0.024309237664233582,0.10424078832116787,0.03994063722627737,,-0.005211678832116789,0.074,1163.27,1168.0,81.2,25.8,29.2,0.872
20,2025-09-28 21:00:01.992000+00:00,75601992,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.008165606774193548,0.3258788494623656,-0.7722865860215055,-0.3154153870967742,-0.007474127849462366,0.9390036774193549,0.06311925510752688,0.119528,0.08576229838709677,,-0.005381720430107527,0.074,1163.27,1168.0,81.2,25.8,29.2,0.872
21,2025-09-28 21:00:02.092000+00:00,75602092,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.00805334870967742,0.3259068064516129,-0.7723634677419355,-0.31418635483870966,-0.002468955806451614,0.9389778709677419,0.1446781637096774,0.120228,0.1541611693548387,,-0.005919354838709678,0.074,1163.27,1168.0,81.2,25.8,29.2,0.872
22,2025-09-28 21:00:02.192000+00:00,75602192,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.00738167,0.326289,-0.772767,-0.317892,-0.00708241,0.938807,0.144677,0.258899,0.0235313,0.0,-0.006,0.073,1163.27,1168.0,81.2,25.8,29.2,0.872
23,2025-09-28 21:00:02.292000+00:00,75602292,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0071749529787234045,0.3263054042553192,-0.7729417446808511,-0.3201373191489362,-0.005251917021276595,0.9386055106382979,-0.18670071446808512,-0.16679987234042554,0.05098192340425532,,-0.005914893617021277,0.07391489361702128,1163.27,1168.0,81.2,25.8,29.2,0.873
24,2025-09-28 21:00:02.392000+00:00,75602392,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0073231444680851064,0.32613377304964536,-0.7729729503546099,-0.31973164539007093,-0.009052058865248225,0.9384430992907802,-0.042673335035461,-0.21708214184397165,-0.010978714893617014,,-0.0052056737588652485,0.07320567375886525,1163.27,1168.0,81.2,25.8,29.2,0.873
25,2025-09-28 21:00:02.492000+00:00,75602492,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.007404387890625,0.32595309375000003,-0.77302415625,-0.3170641015625,-0.009266505703124999,0.9383116874999999,-0.07487108996093751,-0.15354663828125,0.015722017187499996,,-0.005554687500000001,0.0735546875,1163.27,1168.0,81.2,25.8,29.2,0.873
26,2025-09-28 21:00:02.592000+00:00,75602592,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.007407193076923077,0.3257067142857143,-0.7731321868131869,-0.313099010989011,-0.008546175824175824,0.9382808571428571,-0.0683512253846154,0.04140869670329671,0.04444785164835165,,-0.006,0.074,1163.27,1168.0,81.2,25.8,29.2,0.873
27,2025-09-28 21:00:02.692000+00:00,75602692,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.007327124366197184,0.32552556338028166,-0.7732604084507042,-0.31482138028169016,-0.007297872957746479,0.9383674084507042,-0.022563600704225355,0.08625892394366198,0.014237905633802814,,-0.006,0.074,1163.27,1168.0,81.2,25.8,29.2,0.873
28,2025-09-28 21:00:02.792000+00:00,75602792,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0072127597619047615,0.32546726190476194,-0.7733695952380952,-0.3207677619047619,-0.005438084761904762,0.9384627857142858,-0.0525779880952381,-0.09145388809523809,-0.009117259523809526,,-0.006,0.07388095238095238,1163.27,1168.0,81.2,25.8,29.2,0.873
29,2025-09-28 21:00:02.892000+00:00,75602892,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.006975915869565218,0.32529332608695655,-0.7736276521739129,-0.3161457391304348,-0.007020113695652174,0.9386107391304348,0.018483678260869565,-0.09065709347826087,0.06873389999999999,,-0.005717391304347826,0.07328260869565217,1163.27,1168.0,81.2,25.8,29.22826086956522,0.873
30,2025-09-28 21:00:02.992000+00:00,75602992,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.007059164347826087,0.3251546956521739,-0.7737161304347826,-0.3162063043478261,-0.004551048043478261,0.9387286521739131,-0.11007740434782609,-0.11691018913043477,0.03139730869565218,,-0.005369565217391304,0.074,1163.27,1168.0,81.2,25.8,29.26304347826087,0.873
31,2025-09-28 21:00:03.092000+00:00,75603092,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.00727442,0.325103,-0.77373,-0.312604,-0.00264525,0.938827,-0.0584018,-0.160178,0.115911,,-0.005493975903614458,0.074,1163.27,1168.0,81.2,25.8,29.2,0.873
32,2025-09-28 21:00:03.192000+00:00,75603192,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.007480522653061225,0.32511263265306123,-0.7737269897959184,-0.3173739693877551,-0.00925201581632653,0.9389528265306122,-0.062084965306122446,-0.11846698673469387,0.07350011428571429,,-0.005,0.074,1163.27,1168.0,81.2,25.8,29.2,0.873
33,2025-09-28 21:00:03.292000+00:00,75603292,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.00769243630952381,0.3248662857142857,-0.7737932619047619,-0.315281,-0.009565757261904763,0.9389292499999999,-0.018323570178571433,-0.14228976071428573,-0.009092527380952384,,-0.005726190476190477,0.07327380952380952,1163.27,1168.0,81.2,25.8,29.2,0.873
34,2025-09-28 21:00:03.392000+00:00,75603392,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.00775337099009901,0.3247580396039604,-0.7738929504950496,-0.3174190693069307,-0.0070093913861386135,0.939008693069307,-0.04940335326732673,-0.054348983168316836,0.0270670792079208,,-0.005237623762376238,0.07376237623762376,1163.27,1168.0,81.2,25.8,29.2,0.873
35,2025-09-28 21:00:03.492000+00:00,75603492,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.00809264193548387,0.32468106451612905,-0.7738963870967742,-0.315304064516129,-0.009334585161290323,0.9390962580645161,-0.15374752258064517,0.0645422,0.008633280645161293,,-0.0056129032258064515,0.07338709677419354,1163.27,1168.0,81.2,25.8,29.2,0.873
36,2025-09-28 21:00:03.592000+00:00,75603592,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.008496489565217391,0.32470169565217394,-0.7738924782608696,-0.3153900434782609,-0.009871911304347825,0.9391952608695653,-0.32834321739130434,0.07904819130434781,-0.003398803478260869,,-0.005434782608695652,0.073,1163.27,1168.0,81.2,25.8,29.2,0.873
37,2025-09-28 21:00:03.692000+00:00,75603692,0.0,0.0,0.001689655172413793,0.0,0.0,0.0,0.0,0.00897726827586207,0.32501162068965517,-0.7739148620689655,-0.31802493103448276,-0.011205009655172413,0.9394214827586207,-0.419298,0.1452431448275862,0.0039038951724137934,,-0.005,0.07368965517241378,1163.27,1168.0,81.2,25.8,29.2,0.873
38,2025-09-28 21:00:03.792000+00:00,75603792,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.009239795,0.3250585,-0.7739635,-0.316395,-0.010064245,0.939391,-0.2039839,0.11921875,0.055551615000000006,,-0.005,0.074,1163.27,1168.0,81.2,25.8,29.25,0.873
39,2025-09-28 21:00:03.892000+00:00,75603892,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.009299641375,0.3250575125,-0.774043475,-0.3147235875,-0.008197069125,0.9393029249999999,0.00513592075,0.025402161250000003,0.0372857125,,-0.005,0.074,1163.27,1168.0,81.2,25.8,29.26625,0.873
40,2025-09-28 21:00:03.992000+00:00,75603992,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.00925737284090909,0.32513645454545453,-0.7741740113636364,-0.3171337840909091,-0.006877049999999999,0.9392804431818181,0.07399848840909092,-0.021693360227272727,-0.032876939772727265,,-0.0055340909090909095,0.074,1163.27,1168.0,81.2,25.8,29.2,0.873
41,2025-09-28 21:00:04.092000+00:00,75604092,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.009349130597826088,0.3250344510869565,-0.7742377119565217,-0.3169508858695652,-0.007276914130434782,0.939166,0.0775976554347826,-0.06591557336956522,0.03274109945652174,,-0.005679347826086957,0.074,1163.27,1168.0,81.2,25.8,29.232065217391305,0.873
42,2025-09-28 21:00:04.192000+00:00,75604192,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.009409962119565218,0.32494369021739133,-0.7742643423913044,-0.314155777173913,-0.010678022826086956,0.939066,-0.036096148913043496,-0.14189671467391307,0.04349397989130435,,-0.0051358695652173915,0.074,1163.27,1168.0,81.2,25.8,29.286413043478262,0.873
43,2025-09-28 21:00:04.292000+00:00,75604292,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.009407061666666668,0.32454016666666663,-0.774431,-0.3140036666666666,-0.015204299999999999,0.9387735,-0.12262993333333334,-0.21916950000000002,0.05187711666666666,,-0.005833333333333334,0.07316666666666666,1163.27,1168.0,81.2,25.8,29.3,0.873
44,2025-09-28 21:00:04.392000+00:00,75604392,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.009381872417582418,0.3243976813186813,-0.7745601428571428,-0.3183835494505494,-0.011908445054945056,0.9388264835164835,0.19713497802197802,0.031073637362637352,0.08689971538461538,,-0.006,0.073,1163.27,1168.0,81.2,25.8,29.3,0.873
45,2025-09-28 21:00:04.492000+00:00,75604492,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.00935819157894737,0.3239443684210527,-0.7747238421052632,-0.3152868947368421,-0.014143305789473684,0.9388069473684211,0.1560093157894737,0.11524965263157895,0.027705805263157895,,-0.005,0.074,1163.27,1168.0,81.2,25.8,29.3,0.873
