sample_idx,ts_utc,ms_today,speed_meters_per_sec,erpm,duty_cycle,current_in,current_motor,d_axis_current,q_axis_current,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,fault_code,d_axis_voltage,q_axis_voltage,tacho_meters,tacho_abs_meters,input_voltage,temp_mos_max,temp_motor,battery_level
0,2025-09-27 20:46:15.492000+00:00,74775492,0.0,0.0,0.001,0.0,0.01,0.04,-0.01,0.0771008,0.294474,-2.05104,-0.289883,-0.0749009,0.947631,-0.0461662,-0.0887543,0.254651,0.0,-0.024,-0.006,2071.79,2083.1,81.2,28.9,31.8,0.87
1,2025-09-27 20:46:15.592000+00:00,74775592,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.05654396746987952,0.29564972289156627,-1.9813559036144577,-0.2866562530120482,-0.05773198313253012,0.9496315662650603,-0.12120755421686748,0.1259429156626506,0.053300086746987954,,0.062,0.041,2071.79,2083.1,81.2,28.9,31.8,0.87
2,2025-09-27 20:46:15.692000+00:00,74775692,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.055517500000000004,0.29686190322580647,-1.9819329032258064,-0.29004493548387095,-0.060769774193548384,0.9498583870967742,0.7964227419354839,0.5602597935483871,0.3440958387096774,,0.062,0.041,2071.79,2083.1,81.2,28.9,31.8,0.87
3,2025-09-27 20:46:15.792000+00:00,74775792,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.05458400568181818,0.29726519318181815,-1.982379659090909,-0.2910947613636363,-0.05408106818181818,0.9494784659090909,0.13800573863636365,0.09023082727272727,0.1767691818181818,,0.06228409090909091,0.041,2071.79,2083.1,81.2,28.9,31.8,0.87
4,2025-09-27 20:46:15.892000+00:00,74775892,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.054523045054945055,0.29740315384615384,-1.982643846153846,-0.28885247252747254,-0.05749972417582418,0.9490912747252748,0.07991955494505494,0.1610852967032967,0.08735894285714285,,0.06259340659340659,0.041,2071.79,2083.1,81.2,28.9,31.8,0.87
5,2025-09-27 20:46:15.992000+00:00,74775992,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.05451933424657534,0.2974407123287671,-1.9828793150684931,-0.28692672602739727,-0.05487156849315069,0.9488266301369863,0.019341547945205484,0.09817664520547945,0.1545776301369863,,0.062,0.041,2071.79,2083.1,81.2,28.9,31.8,0.87
6,2025-09-27 20:46:16.092000+00:00,74776092,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0545768,0.297414,-1.98303,-0.292587,-0.0548665,0.948628,-0.128134,0.0498737,0.119879,0.0,0.062,0.041,2071.79,2083.1,81.2,28.9,31.8,0.87
7,2025-09-27 20:46:16.192000+00:00,74776192,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.05500378987341772,0.29695902531645574,-1.983356329113924,-0.2948004810126582,-0.05417825949367088,0.9481463797468355,0.01690600759493671,-0.42096864556962027,0.17601815189873418,,0.062,0.04091139240506329,2071.79,2083.1,81.2,28.9,31.8,0.87
8,2025-09-27 20:46:16.292000+00:00,74776292,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.05494402173913043,0.29610604347826086,-1.9838,-0.29363317391304344,-0.05481570869565217,0.9478189565217391,0.0113302,-0.230237,0.11051,,0.062,0.04030434782608696,2071.79,2083.1,81.2,28.9,31.8,0.87
9,2025-09-27 20:46:16.392000+00:00,74776392,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.05509579302325581,0.29575593023255814,-1.984052093023256,-0.28939662790697673,-0.052000862790697676,0.9480737674418604,0.013891181395348838,-0.1713366465116279,0.13909860465116278,,0.062,0.041,2071.79,2083.1,81.2,28.9,31.8,0.87
10,2025-09-27 20:46:16.492000+00:00,74776492,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.055279065168539324,0.29559426966292135,-1.984292359550562,-0.2895658988764045,-0.051050177528089886,0.9438073707865169,-0.10695195617977526,-0.24752183595505617,0.1123788202247191,,0.062,0.041,2071.79,2083.1,81.2,28.9,31.8,0.87
11,2025-09-27 20:46:16.592000+00:00,74776592,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.055562635164835165,0.2952879395604396,-1.9844269230769231,-0.28844763736263734,-0.052310837362637364,0.9430634340659341,-0.18061228571428573,-0.3473159175824176,0.058275917032967035,,0.062,0.04066483516483517,2071.79,2083.1,81.2,28.9,31.8,0.87
12,2025-09-27 20:46:16.692000+00:00,74776692,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.055883184615384614,0.2948698076923077,-1.9845038461538462,-0.28663884615384616,-0.05675204615384615,0.9475936538461538,-0.142298,-0.3088911923076923,0.05452102692307693,,0.062,0.040115384615384615,2071.79,2083.1,81.2,28.9,31.8,0.87
13,2025-09-27 20:46:16.792000+00:00,74776792,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.05613248014184397,0.29451866666666665,-1.9847553191489362,-0.28670778723404255,-0.056032647517730495,0.9488733262411347,-0.134252,-0.26160382269503546,0.05333111276595744,,0.062,0.04,2071.79,2083.1,81.2,28.9,31.8,0.87
14,2025-09-27 20:46:16.892000+00:00,74776892,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.05628365441176471,0.29432177941176474,-1.9850126470588234,-0.28652157352941177,-0.05561909705882353,0.9492553382352941,-0.09186520735294118,-0.2500191911764706,0.08876373382352942,,0.062,0.04,2071.79,2083.1,81.2,28.9,31.8,0.87
15,2025-09-27 20:46:16.992000+00:00,74776992,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.05630981975308642,0.2943306790123457,-1.9852093827160495,-0.2852187037037037,-0.057801440740740735,0.9495759012345679,0.010258862962962963,-0.30300565432098764,0.1781511802469136,,0.062,0.04,2071.79,2083.1,81.2,28.9,31.8,0.87
