ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
74775492;81.2;28.9;22.2;0;29;31.8;0.01;0;0.04;-0.01;0;0.001;0.5864;0.1513;46.1994;12.5592;219824;221024;295.2;0;1;-0.024;-0.006;74775313;0.5864;0.1513;46.1994;12.5592;0.87;547.303;0;0;0;2071.79;2083.1;1;74731215;0.0771008;0.294474;-2.05104;-0.289883;-0.0749009;0.947631;-0.0461662;-0.0887543;0.254651;74773999;47.59970308;-122.83272404;114.92099579;0.00000000;0.00000000;4.07750034;3.40514898;
74775591;81.2;28.9;22.2;0;29;31.8;0;0;0;0;0;0.001;0.5864;0.1513;46.1994;12.5592;219824;221024;295.2;0;1;0.062;0.041;74775493;0.5864;0.1513;46.1994;12.5592;0.87;547.303;0;0;0;2071.79;2083.1;1;74775498;0.0565538;0.295636;-1.98135;-0.286617;-0.0576693;0.949628;-0.134252;0.119156;0.0494341;74774999;47.59970458;-122.83272754;114.18449890;0.00000000;0.00000000;4.08479738;3.33380461;
74775674;81.2;28.9;22.2;0;28.9;31.8;0;0;0;0;0;0.001;0.5864;0.1513;46.1994;12.5592;219824;221024;295.2;0;1;0.062;0.041;74775592;0.5864;0.1513;46.1994;12.5592;0.87;547.303;0;0;0;2071.79;2083.1;1;74775592;0.0557377;0.296775;-1.98184;-0.289875;-0.062872;0.949924;0.948437;0.68247;0.370311;74774999;47.59970458;-122.83272754;114.18449890;0.00000000;0.00000000;4.08479738;3.33380461;
74775767;81.2;28.9;22.2;0;28.9;31.8;0;0;0;0;0;0.001;0.5864;0.1513;46.1994;12.5592;219824;221024;295.2;0;1;0.062;0.041;74775674;0.5864;0.1513;46.1994;12.5592;0.87;547.303;0;0;0;2071.79;2083.1;1;74775686;0.0546;0.297224;-1.98232;-0.290753;-0.0520105;0.949585;0.16303;0.0510506;0.234866;74774999;47.59970458;-122.83272754;114.18449890;0.00000000;0.00000000;4.08479738;3.33380461;
74775855;81.2;28.9;22.3;0;28.9;31.8;0;0;0;0;0;0.001;0.5864;0.1513;46.1994;12.5592;219824;221024;295.2;0;1;0.063;0.041;74775854;0.5864;0.1513;46.1994;12.5592;0.87;547.303;0;0;0;2071.79;2083.1;1;74775768;0.0545437;0.297369;-1.98253;-0.291956;-0.0592989;0.94921;0.0749446;0.188965;0.0303652;74774999;47.59970458;-122.83272754;114.18449890;0.00000000;0.00000000;4.08479738;3.33380461;
74775946;81.2;28.9;22.1;0;28.9;31.8;0;0;0;0;0;0.001;0.5864;0.1513;46.1994;12.5592;219824;221024;295.2;0;1;0.062;0.041;74775854;0.5864;0.1513;46.1994;12.5592;0.87;547.303;0;0;0;2071.79;2083.1;1;74775856;0.0544929;0.297453;-1.98281;-0.284323;-0.0548739;0.948918;0.0871803;0.120396;0.170539;74774999;47.59970458;-122.83272754;114.18449890;0.00000000;0.00000000;4.08479738;3.33380461;
74776092;81.2;28.9;22.2;0;28.8;31.8;0;0;0;0;0;0.001;0.5864;0.1513;46.1994;12.5592;219824;221024;295.2;0;1;0.062;0.041;74775946;0.5864;0.1513;46.1994;12.5592;0.87;547.303;0;0;0;2071.79;2083.1;1;74775947;0.0545768;0.297414;-1.98303;-0.292587;-0.0548665;0.948628;-0.128134;0.0498737;0.119879;74774999;47.59970458;-122.83272754;114.18449890;0.00000000;0.00000000;4.08479738;3.33380461;
74776185;81.2;28.9;22.1;0;28.9;31.8;0;0;0;0;0;0.001;0.5864;0.1513;46.1994;12.5592;219824;221024;295.2;0;1;0.062;0.041;74776093;0.5864;0.1513;46.1994;12.5592;0.87;547.303;0;0;0;2071.79;2083.1;1;74776094;0.0550139;0.29703;-1.98332;-0.294728;-0.0539688;0.948182;0.0174481;-0.439512;0.182387;74774999;47.59970458;-122.83272754;114.18449890;0.00000000;0.00000000;4.08479738;3.33380461;
74776264;81.2;28.9;22.2;0;29;31.8;0;0;0;0;0;0.001;0.5864;0.1513;46.1994;12.5592;219824;221024;295.2;0;1;0.062;0.04;74776186;0.5864;0.1513;46.1994;12.5592;0.87;547.303;0;0;0;2071.79;2083.1;1;74776217;0.0548998;0.296229;-1.98373;-0.295546;-0.0563327;0.94778;0.0113302;-0.230237;0.11051;74774999;47.59970458;-122.83272754;114.18449890;0.00000000;0.00000000;4.08479738;3.33380461;
74776356;81.2;28.9;22.2;0;28.9;31.8;0;0;0;0;0;0.001;0.5864;0.1513;46.1994;12.5592;219824;221024;295.2;0;1;0.062;0.041;74776355;0.5864;0.1513;46.1994;12.5592;0.87;547.303;0;0;0;2071.79;2083.1;1;74776309;0.0550451;0.295825;-1.98396;-0.289261;-0.0513483;0.947908;0.0113302;-0.230237;0.11051;74774999;47.59970458;-122.83272754;114.18449890;0.00000000;0.00000000;4.08479738;3.33380461;
