ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
84434485;77;34.8;34.5;0;34.8;58.5;0;0;-0.01;-0.06;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;0.004;-0.049;84434481;3.3785;0.6235;259.19;50.1928;0.56;352.621;0;0;0;8629.83;8779.72;1;84382462;-0.00327637;0.29101;-2.25095;-0.291913;-0.0148883;0.948235;-1.72954;0.0434008;-0.512549;84433000;47.61238885;-122.74888127;104.10543441;0.00000000;0.00000000;4.04414272;3.00000000;
84434578;77;34.7;34.5;0;34.8;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.061;-0.041;84434481;3.3785;0.6235;259.19;50.1928;0.56;352.621;0;0;0;8629.83;8779.72;1;84434529;0.050327;0.359132;0.743522;-0.353542;-0.0535985;0.928955;0.181384;0.0531915;0.444051;84433000;47.61238885;-122.74888127;104.10543441;0.00000000;0.00000000;4.04414272;3.00000000;
84434671;77;34.8;34.4;0;34.9;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.061;-0.042;84434578;3.3785;0.6235;259.19;50.1928;0.56;352.624;0;0;0;8629.83;8779.72;1;84434619;0.0503115;0.359368;0.74314;-0.349934;-0.052716;0.928874;-0.0461662;-0.0187579;0.253935;84433000;47.61238885;-122.74888127;104.10543441;0.00000000;0.00000000;4.04414272;3.00000000;
84434754;77;34.7;34.4;0;34.8;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.062;-0.041;84434672;3.3785;0.6235;259.19;50.1928;0.56;352.637;0;0;0;8629.83;8779.72;1;84434710;0.0506085;0.359519;0.742843;-0.348621;-0.053653;0.928754;-0.18563;0.261353;0.263304;84433000;47.61238885;-122.74888127;104.10543441;0.00000000;0.00000000;4.04414272;3.00000000;
84434843;77;34.7;34.5;0;34.8;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.062;-0.041;84434842;3.3785;0.6235;259.19;50.1928;0.56;352.654;0;0;0;8629.83;8779.72;1;84434809;0.0508507;0.359675;0.742516;-0.349678;-0.0541501;0.928671;-0.115898;0.051301;0.259336;84434000;47.61238885;-122.74888127;104.25885882;0.00000000;0.00000000;4.04402924;3.00000000;
84434932;77;34.7;34.4;0;34.8;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.062;-0.042;84434842;3.3785;0.6235;259.19;50.1928;0.56;352.654;0;0;0;8629.83;8779.72;1;84434891;0.0510226;0.359439;0.742183;-0.350582;-0.0594518;0.928389;0.0174481;-0.159527;0.179522;84434000;47.61238885;-122.74888127;104.25885882;0.00000000;0.00000000;4.04402924;3.00000000;
84435028;77;34.8;34.4;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.062;-0.041;84434933;3.3785;0.6235;259.19;50.1928;0.56;352.659;0;0;0;8629.83;8779.72;1;84434985;0.0510444;0.359288;0.741775;-0.350565;-0.0512114;0.928281;0.0296837;-0.1581;0.318979;84434000;47.61238885;-122.74888127;104.25885882;0.00000000;0.00000000;4.04402924;3.00000000;
84435162;77;34.7;34.5;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.061;-0.042;84435029;3.3785;0.6235;259.19;50.1928;0.56;352.664;0;0;0;8629.83;8779.72;1;84435112;0.0511408;0.359156;0.741398;-0.34538;-0.0516088;0.928273;0.0296837;0.191882;0.315397;84434943;47.61145070;-122.76580860;0.00000000;0.00000000;0.00000000;899.99902344;0.00000000;
84435253;77;34.7;34.5;0;34.8;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.061;-0.041;84435163;3.3785;0.6235;259.19;50.1928;0.56;352.691;0;0;0;8629.83;8779.72;1;84435214;0.0529395;0.358421;0.741257;-0.34143;-0.0879748;0.927869;-0.780195;0.117579;-0.104694;84434943;47.61145070;-122.76580860;0.00000000;0.00000000;0.00000000;899.99902344;0.00000000;
84435338;77;34.7;34.4;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.062;-0.041;84435254;3.3785;0.6235;259.19;50.1928;0.56;352.698;0;0;0;8629.83;8779.72;1;84435297;0.0528562;0.359696;0.740708;-0.347376;-0.0632365;0.929107;-0.115898;0.401283;0.255754;84434943;47.61145070;-122.76580860;0.00000000;0.00000000;0.00000000;899.99902344;0.00000000;
84435430;77;34.7;34.4;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.062;-0.041;84435339;3.3785;0.6235;259.19;50.1928;0.56;352.7;0;0;0;8629.83;8779.72;1;84435390;0.0531165;0.359624;0.740411;-0.349038;-0.0745704;0.928971;0.372227;0.330848;0.213648;84434943;47.61145070;-122.76580860;0.00000000;0.00000000;0.00000000;899.99902344;0.00000000;
84435522;77;34.7;34.4;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.062;-0.042;84435521;3.3785;0.6235;259.19;50.1928;0.56;352.721;0;0;0;8629.83;8779.72;1;84435480;0.0526299;0.359893;0.73984;-0.34758;-0.0555407;0.929011;0.31473;-0.227633;0.364954;84434943;47.61145070;-122.76580860;0.00000000;0.00000000;0.00000000;899.99902344;0.00000000;
84435607;77;34.7;34.4;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.062;-0.042;84435521;3.3785;0.6235;259.19;50.1928;0.56;352.721;0;0;0;8629.83;8779.72;1;84435566;0.0521195;0.359516;0.739296;-0.348621;-0.0570689;0.928632;0.39058;-0.366974;0.429997;84434943;47.61145070;-122.76580860;0.00000000;0.00000000;0.00000000;899.99902344;0.00000000;
84435699;77;34.7;34.5;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.061;-0.041;84435607;3.3785;0.6235;259.19;50.1928;0.56;352.736;0;0;0;8629.83;8779.72;1;84435656;0.051808;0.359097;0.73883;-0.353337;-0.0473453;0.928424;0.169148;-0.158225;0.306744;84434943;47.61145070;-122.76580860;0.00000000;0.00000000;0.00000000;899.99902344;0.00000000;
84435793;77;34.7;34.4;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.062;-0.042;84435700;3.3785;0.6235;259.19;50.1928;0.56;352.743;0;0;0;8629.83;8779.72;1;84435745;0.0516457;0.358756;0.738394;-0.347426;-0.0496099;0.928271;0.0932981;-0.228872;0.243849;84434943;47.61145070;-122.76580860;0.00000000;0.00000000;0.00000000;899.99902344;0.00000000;
84435923;77;34.7;34.4;0;34.8;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.061;-0.042;84435922;3.3785;0.6235;259.19;50.1928;0.56;352.775;0;0;0;8629.83;8779.72;1;84435878;0.0514406;0.358379;0.737764;-0.350053;-0.0511517;0.928307;0.105534;-0.0174558;0.381157;84435000;47.61238885;-122.74888127;104.50476639;0.00000000;0.00000000;4.30361176;3.00000000;
84436011;77;34.7;34.4;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.061;-0.042;84435922;3.3785;0.6235;259.19;50.1928;0.56;352.775;0;0;0;8629.83;8779.72;1;84435973;0.0511661;0.358628;0.737324;-0.351512;-0.0516384;0.928631;0.226644;0.190267;0.157587;84435000;47.61238885;-122.74888127;104.50476639;0.00000000;0.00000000;4.30361176;3.00000000;
84436112;77;34.7;34.4;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.062;-0.042;84436020;3.3785;0.6235;259.19;50.1928;0.56;352.794;0;0;0;8629.83;8779.72;1;84436062;0.050874;0.358553;0.736819;-0.350284;-0.0491695;0.928662;0.169148;-0.228221;0.30746;84435000;47.61238885;-122.74888127;104.50476639;0.00000000;0.00000000;4.30361176;3.00000000;
84436236;77;34.7;34.4;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.061;-0.041;84436112;3.3785;0.6235;259.19;50.1928;0.56;352.821;0;0;0;8629.83;8779.72;1;84436156;0.0507659;0.35841;0.73641;-0.349226;-0.0462326;0.928715;-0.122016;-0.019409;0.190324;84435000;47.61238885;-122.74888127;104.50476639;0.00000000;0.00000000;4.30361176;3.00000000;
84436380;77;34.7;34.4;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.062;-0.042;84436237;3.3785;0.6235;259.19;50.1928;0.56;352.848;0;0;0;8629.83;8779.72;1;84436327;0.0509812;0.358421;0.735927;-0.351068;-0.0496919;0.928792;0.244998;-0.437559;0.37322;84435000;47.61238885;-122.74888127;104.50476639;0.00000000;0.00000000;4.30361176;3.00000000;
84436465;77;34.7;34.4;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.062;-0.042;84436381;3.3785;0.6235;259.19;50.1928;0.561;352.871;0;0;0;8629.83;8779.72;1;84436422;0.0505303;0.357562;0.735226;-0.345405;-0.0541088;0.928502;0.175266;-0.0175184;0.375039;84435000;47.61238885;-122.74888127;104.50476639;0.00000000;0.00000000;4.30361176;3.00000000;
84436553;77;34.7;34.4;0;34.8;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.061;-0.041;84436466;3.3785;0.6235;259.19;50.1928;0.561;352.88;0;0;0;8629.83;8779.72;1;84436506;0.0503287;0.357542;0.734812;-0.348535;-0.0487633;0.928785;0.232762;-0.0190084;0.229465;84435000;47.61238885;-122.74888127;104.50476639;0.00000000;0.00000000;4.30361176;3.00000000;
84436643;77;34.7;34.4;0;34.8;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.061;-0.041;84436554;3.3785;0.6235;259.19;50.1928;0.561;352.897;0;0;0;8629.83;8779.72;1;84436604;0.0502916;0.357719;0.734422;-0.34781;-0.0555104;0.929216;0.0235659;0.331161;0.244235;84435000;47.61238885;-122.74888127;104.50476639;0.00000000;0.00000000;4.30361176;3.00000000;
84436738;77;34.7;34.4;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.061;-0.041;84436648;3.3785;0.6235;259.19;50.1928;0.561;352.925;0;0;0;8629.83;8779.72;1;84436689;0.0501966;0.358062;0.734029;-0.346906;-0.0477688;0.929636;0.169148;0.191757;0.303162;84435000;47.61238885;-122.74888127;104.50476639;0.00000000;0.00000000;4.30361176;3.00000000;
84436822;77;34.7;34.4;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.061;-0.042;84436822;3.3785;0.6235;259.19;50.1928;0.561;352.976;0;0;0;8629.83;8779.72;1;84436778;0.050073;0.358189;0.733614;-0.344902;-0.0512366;0.929724;0.23888;-0.158287;0.300626;84436000;47.61238885;-122.74888127;104.70480229;0.00000000;0.00000000;4.30346060;3.00000000;
84436913;77;34.7;34.4;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.062;-0.041;84436822;3.3785;0.6235;259.19;50.1928;0.561;352.976;0;0;0;8629.83;8779.72;1;84436870;0.0497478;0.358062;0.733158;-0.348023;-0.0579752;0.929626;0.23888;0.121698;0.297761;84436000;47.61238885;-122.74888127;104.70480229;0.00000000;0.00000000;4.30346060;3.00000000;
84437003;77;34.7;34.6;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.061;-0.041;84436913;3.3785;0.6235;259.19;50.1928;0.561;353.002;0;0;0;8629.83;8779.72;1;84436957;0.0493723;0.358172;0.732652;-0.350599;-0.052565;0.929694;0.320848;0.0530663;0.431816;84436000;47.61238885;-122.74888127;104.70480229;0.00000000;0.00000000;4.30346060;3.00000000;
84437094;77;34.7;34.4;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.061;-0.042;84437003;3.3785;0.6235;259.19;50.1928;0.561;353.019;0;0;0;8629.83;8779.72;1;84437051;0.0491229;0.35832;0.73217;-0.347879;-0.0521597;0.929731;0.0994159;-0.0181695;0.311428;84436000;47.61238885;-122.74888127;104.70480229;0.00000000;0.00000000;4.30346060;3.00000000;
84437188;77;34.7;34.4;0;34.7;58.5;0;0;0;0;0;-0.001;3.3785;0.6235;259.19;50.1928;915653;931557;115.2;0;1;-0.062;-0.041;84437095;3.3785;0.6235;259.19;50.1928;0.561;353.025;0;0;0;8629.83;8779.72;1;84437137;0.0489451;0.358327;0.731701;-0.346983;-0.0457116;0.929667;0.0994159;0.0518268;0.310712;84436000;47.61238885;-122.74888127;104.70480229;0.00000000;0.00000000;4.30346060;3.00000000;
