ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
78942217;78.4;33.9;33.6;0;33.9;52;0;0;-0.03;-0.01;0;-0.001;1.0118;0.1678;77.9025;13.4571;289234;291316;54;0;1;-0.019;-0.04;78942134;1.0118;0.1678;77.9025;13.4571;0.664;417.916;0;0;0;2725.97;2745.59;1;78819002;0.0542392;0.345024;-1.73789;-0.342463;-0.0491715;0.930782;-0.191748;-0.0893427;0.197158;78938999;47.61232372;-122.75085938;88.17595444;0.03679051;0.00000000;3.23370934;3.00000000;
78942351;78.4;33.9;33.6;0;34;52;0;0;0;0;0;-0.001;1.0118;0.1678;77.9025;13.4571;289234;291316;54;0;1;0.005;-0.075;78942218;1.0118;0.1678;77.9025;13.4571;0.664;417.929;0;0;0;2725.97;2745.59;1;78942228;0.061038;0.344075;-1.89117;-0.336595;-0.0634384;0.933092;0.0113302;0.539723;0.102629;78938999;47.61232372;-122.75085938;88.17595444;0.03679051;0.00000000;3.23370934;3.00000000;
78942444;78.4;33.9;33.6;0;33.9;52;0;0;0;0;0;-0.001;1.0118;0.1678;77.9025;13.4571;289234;291316;54;0;1;0.004;-0.075;78942353;1.0118;0.1678;77.9025;13.4571;0.664;417.946;0;0;0;2725.97;2745.59;1;78942354;0.0613588;0.344566;-1.89142;-0.335128;-0.0643003;0.933278;0.0174481;0.190455;0.17594;78938999;47.61232372;-122.75085938;88.17595444;0.03679051;0.00000000;3.23370934;3.00000000;
78942533;78.4;33.9;33.6;0;33.9;52;0;0;0;0;0;-0.001;1.0118;0.1678;77.9025;13.4571;289234;291316;54;0;1;0.005;-0.074;78942445;1.0118;0.1678;77.9025;13.4571;0.664;417.949;0;0;0;2725.97;2745.59;1;78942445;0.0614587;0.344782;-1.89195;-0.332442;-0.0652486;0.933025;0.23888;-0.0182947;0.299193;78938999;47.61232372;-122.75085938;88.17595444;0.03679051;0.00000000;3.23370934;3.00000000;
78942625;78.4;33.9;33.6;0;33.9;52;0;0;0;0;0;-0.001;1.0118;0.1678;77.9025;13.4571;289234;291316;54;0;1;0.004;-0.074;78942533;1.0118;0.1678;77.9025;13.4571;0.664;417.957;0;0;0;2725.97;2745.59;1;78942534;0.0614034;0.344878;-1.89232;-0.337789;-0.0652438;0.932944;-0.0400484;0.121948;0.322231;78938999;47.61232372;-122.75085938;88.17595444;0.03679051;0.00000000;3.23370934;3.00000000;
78942724;78.4;33.9;33.6;0;33.9;52;0;0;0;0;0;-0.001;1.0118;0.1678;77.9025;13.4571;289234;291316;54;0;1;0.004;-0.075;78942626;1.0118;0.1678;77.9025;13.4571;0.664;417.965;0;0;0;2725.97;2745.59;1;78942627;0.0613949;0.345036;-1.89266;-0.338548;-0.0622902;0.93293;-0.052284;0.0505247;0.18349;78938999;47.61232372;-122.75085938;88.17595444;0.03679051;0.00000000;3.23370934;3.00000000;
78942813;78.4;33.9;33.6;0;33.9;52;0;0;0;0;0;-0.001;1.0118;0.1678;77.9025;13.4571;289234;291316;54;0;1;0.004;-0.076;78942760;1.0118;0.1678;77.9025;13.4571;0.664;417.976;0;0;0;2725.97;2745.59;1;78942760;0.061418;0.345242;-1.893;-0.334096;-0.0653273;0.932903;-0.0461662;0.191231;0.251786;78938999;47.61232372;-122.75085938;88.17595444;0.03679051;0.00000000;3.23370934;3.00000000;
78942893;78.4;33.9;33.7;0;33.9;52;0;0;0;0;0;-0.001;1.0118;0.1678;77.9025;13.4571;289234;291316;54;0;1;0.005;-0.075;78942859;1.0118;0.1678;77.9025;13.4571;0.664;417.995;0;0;0;2725.97;2745.59;1;78942859;0.0616737;0.345473;-1.89342;-0.3401;-0.065342;0.93274;0.0932981;-0.0188832;0.2417;78939999;47.61232408;-122.75085868;88.32701828;0.03358901;0.00000000;3.15487671;3.00000000;
78942988;78.4;33.9;33.7;0;33.9;52;0;0;0;0;0;-0.001;1.0118;0.1678;77.9025;13.4571;289234;291316;54;0;1;0.004;-0.075;78942937;1.0118;0.1678;77.9025;13.4571;0.664;418.004;0;0;0;2725.97;2745.59;1;78942939;0.0616774;0.345761;-1.89376;-0.334241;-0.0682149;0.932648;0.16303;0.0510506;0.234866;78939999;47.61232408;-122.75085868;88.32701828;0.03358901;0.00000000;3.15487671;3.00000000;
78943073;78.4;33.9;33.5;0;33.9;52;0;0;0;0;0;-0.001;1.0118;0.1678;77.9025;13.4571;289234;291316;54;0;1;0.005;-0.075;78943031;1.0118;0.1678;77.9025;13.4571;0.664;418.004;0;0;0;2725.97;2745.59;1;78943031;0.0616551;0.345875;-1.89412;-0.335998;-0.0638567;0.932433;0.169148;-0.0882284;0.306027;78939999;47.61232408;-122.75085868;88.32701828;0.03358901;0.00000000;3.15487671;3.00000000;
