ride_id,sample_idx,_elapsed_ms,ts_utc,ts_pst,video_ts_anchor,ms_today,cf_accel,cf_brake,cf_cruise,cf_turn_left,cf_turn_right,cf_carve_left,cf_carve_right,cf_ascent,cf_descent,cf_traction_loss,cf_idle,cf_forward,cf_reverse,speed_meters_per_sec,erpm,duty_cycle,current_in,current_motor,d_axis_current,q_axis_current,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,gnss_lat,fault_code,d_axis_voltage,q_axis_voltage,tacho_meters,tacho_abs_meters,gnss_lon,gnss_alt,gnss_gVel,gnss_vVel,input_voltage,temp_mos_max,temp_motor,battery_level,dt_ms,_on_grid
ride_48,0,0.0,2025-10-02 20:46:05.679000+00:00,2025-10-02 13:46:05.679,00:00:05.3,74765679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.02,0.07,0.0,0.0444458,0.31514,-1.83108,-0.307495,-0.0534844,0.942868,-1.24141,0.0429626,-0.555372,47.60051397,0.0,0.006,0.07,650.158,651.157,-122.82535459,102.20840582,0.0,0.0,82.0,22.5,22.6,0.921,100,True
,1,100.0,2025-10-02 20:46:05.779000+00:00,2025-10-02 13:46:05.779,00:00:05.4,74765779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.062558544680851,0.3188255531914893,-2.143086595744681,-0.3084255319148936,-0.0593714914893617,0.9407043617021276,0.0173939051063829,0.2156855744680851,0.0216846319148936,47.60051397,,0.0601914893617021,0.0411914893617021,650.158,651.157,-122.82535459,102.20840582,0.0,0.0,82.0,22.5,22.6,0.921,100,True
,2,200.0,2025-10-02 20:46:05.879000+00:00,2025-10-02 13:46:05.879,00:00:05.5,74765879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0625509758241758,0.3192022747252747,-2.1430774725274726,-0.3120612747252747,-0.065182412087912,0.9406686923076923,0.1672352923076923,0.3289141538461538,0.0246964978021977,47.60051397,,0.0607362637362637,0.0417362637362637,650.158,651.157,-122.82535459,102.20840582,0.0,0.0,82.0,22.5,22.6,0.921,100,True
,3,300.0,2025-10-02 20:46:05.979000+00:00,2025-10-02 13:46:05.979,00:00:05.6,74765979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.062011931707317,0.3197367195121951,-2.1432582926829267,-0.3109384268292683,-0.0585352951219512,0.940551231707317,0.2612710334146341,0.2449926463414634,0.0828592195121951,47.60051397,,0.0604024390243902,0.0414024390243902,650.158,651.157,-122.82535459,102.20840582,0.0,0.0,82.0,22.5,22.6,0.921,100,True
,4,400.0,2025-10-02 20:46:06.079000+00:00,2025-10-02 13:46:06.079,00:00:05.7,74766079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.061762453125,0.32007103125,-2.1433512500000003,-0.3110126875,-0.056758103125,0.94028940625,-0.037568171875,0.22995221875,-0.02606325625,47.60051397,,0.06046875,0.042,650.158,651.157,-122.82535459,102.20840582,0.0,0.0,82.0,22.5,22.6,0.921,100,True
,5,500.0,2025-10-02 20:46:06.179000+00:00,2025-10-02 13:46:06.179,00:00:05.8,74766179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0619292710843373,0.3202989397590361,-2.143316987951807,-0.3121469156626506,-0.0567528277108433,0.94006378313253,-0.2153060096385541,0.1422560843373493,-0.0833893108433735,47.60051397,,0.06,0.042,650.158,651.157,-122.82535459,102.20840582,0.0,0.0,82.0,22.5,22.6,0.921,100,True
,6,600.0,2025-10-02 20:46:06.279000+00:00,2025-10-02 13:46:06.279,00:00:05.9,74766279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0623411360655737,0.3204702295081967,-2.1431916393442623,-0.3124600983606557,-0.0611926639344262,0.9399811475409836,-0.1775134340983606,0.0751466131147541,-0.101841075409836,47.60051397,,0.06,0.042,650.158,651.157,-122.82535459,102.20840582,0.0,0.0,82.0,22.5,22.6,0.921,100,True
,7,700.0,2025-10-02 20:46:06.379000+00:00,2025-10-02 13:46:06.379,00:00:06.0,74766379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0627814639344262,0.3205844371584699,-2.1430550273224043,-0.3119519016393443,-0.0657290027322404,0.9399188524590164,-0.0184070925683059,0.1140388535519125,-0.0393981245901639,47.60051397,,0.06,0.042,650.158,651.157,-122.82535459,102.20840582,0.0,0.0,82.0,22.5,22.6,0.921,100,True
,8,800.0,2025-10-02 20:46:06.479000+00:00,2025-10-02 13:46:06.479,00:00:06.1,74766479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.063208428125,0.3206785833333333,-2.142919479166667,-0.3175020729166666,-0.0635317635416666,0.9394011770833334,-0.20619094546875,0.11716834375,-0.14480345625,47.60051397,,0.06,0.042,650.158,651.157,-122.82535459,102.20840582,0.0,0.0,82.0,22.5,22.6,0.921,100,True
,9,900.0,2025-10-02 20:46:06.579000+00:00,2025-10-02 13:46:06.579,00:00:06.2,74766579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0633123152173913,0.3207589673913043,-2.142883152173913,-0.3132107391304348,-0.057590575,0.9391350434782608,-0.1694519347826087,0.0977156184782608,-0.0381541760869565,47.60051397,,0.06,0.0410978260869565,650.158,651.157,-122.82535459,102.13932978,0.0,0.0,82.0,22.5,22.6,0.921,100,True
,10,1000.0,2025-10-02 20:46:06.679000+00:00,2025-10-02 13:46:06.679,00:00:06.3,74766679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0635783244186046,0.3207017441860465,-2.14280023255814,-0.3147699534883721,-0.0552560825581395,0.9390092906976744,-0.336324765116279,-0.0791227418604651,-0.1563333046511628,47.60051397,,0.0601976744186046,0.042,650.158,651.157,-122.82535459,102.13932978,0.0,0.0,82.0,22.5,22.6,0.921,100,True
,11,1100.0,2025-10-02 20:46:06.779000+00:00,2025-10-02 13:46:06.779,00:00:06.4,74766779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0639777923076923,0.3205458681318681,-2.142706373626374,-0.3109482417582417,-0.054274956043956,0.938882087912088,-0.0025722967032967,-0.0693792967032967,-0.0320066153846153,47.60051397,,0.0606593406593406,0.042,650.158,651.157,-122.82535459,102.13932978,0.0,0.0,82.0,22.5,22.6,0.921,100,True
,12,1200.0,2025-10-02 20:46:06.879000+00:00,2025-10-02 13:46:06.879,00:00:06.5,74766879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0640618303370786,0.3204164719101123,-2.1426755056179774,-0.3130798876404494,-0.0559633146067415,0.9388565168539326,0.1118651123595506,-0.0357551685393258,-0.0234761123595505,47.60051397,,0.06,0.0415505617977528,650.158,651.157,-122.82535459,102.13932978,0.0,0.0,82.0,22.5,22.6,0.921,100,True
,13,1300.0,2025-10-02 20:46:06.979000+00:00,2025-10-02 13:46:06.979,00:00:06.6,74766979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0637237277372262,0.3203143576642336,-2.1427854014598537,-0.3125315912408759,-0.0611049773722627,0.9389578686131388,0.3579651167883211,0.0419817489051094,0.1475831313868613,47.60051397,,0.06,0.041,650.158,651.157,-122.82535459,102.13932978,0.0,0.0,82.0,22.5,22.6,0.921,100,True
,14,1400.0,2025-10-02 20:46:07.079000+00:00,2025-10-02 13:46:07.079,00:00:06.7,74767079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0630793860215053,0.3202649139784946,-2.1429890322580647,-0.3123072473118279,-0.0641177322580645,0.939126688172043,0.1933110647311828,-0.0477567268817204,0.1417908043010752,47.60051397,,0.06,0.041,650.158,651.157,-122.82535459,102.13932978,0.0,0.0,82.0,22.5,22.6,0.9211505376344088,100,True
,15,1500.0,2025-10-02 20:46:07.179000+00:00,2025-10-02 13:46:07.179,00:00:06.8,74767179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0628245034090909,0.3202774545454545,-2.143049545454545,-0.3089239659090909,-0.0545050897727272,0.9394447613636364,-0.0295288317045454,0.1554793568181818,0.0231045784090909,47.60051397,,0.06,0.041,650.158,651.157,-122.82535459,102.13932978,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,16,1600.0,2025-10-02 20:46:07.279000+00:00,2025-10-02 13:46:07.279,00:00:06.9,74767279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0628243258064516,0.3203076774193548,-2.1430587096774194,-0.3079746451612903,-0.0531481387096774,0.9395986451612904,-0.1425405483870967,0.0730305483870967,-0.0445745774193548,47.60051397,,0.06,0.041,650.158,651.157,-122.82535459,102.13932978,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,17,1700.0,2025-10-02 20:46:07.379000+00:00,2025-10-02 13:46:07.379,00:00:07.0,74767379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0630585814814814,0.3204488148148148,-2.142996296296296,-0.3094649629629629,-0.0552841444444444,0.9397834814814816,-0.0602161851851851,0.0765984222222222,-0.0555281444444444,47.60051397,,0.06,0.0412962962962962,650.158,651.157,-122.82535459,102.13932978,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,18,1800.0,2025-10-02 20:46:07.479000+00:00,2025-10-02 13:46:07.479,00:00:07.1,74767479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0633540885057471,0.3205132068965517,-2.1429382758620688,-0.3110479540229885,-0.0596075839080459,0.9398359540229884,0.1319510057471264,-0.0292034988505747,0.0195192218390804,47.60051397,,0.06,0.0419425287356321,650.158,651.157,-122.82535459,102.14118814034482,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,19,1900.0,2025-10-02 20:46:07.579000+00:00,2025-10-02 13:46:07.579,00:00:07.2,74767579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.063475764516129,0.3203324193548387,-2.14291,-0.3141725161290322,-0.0614632258064516,0.9396933548387096,-0.0057202741935483,-0.1348698322580645,-0.0589846806451612,47.60051397,,0.06,0.0411935483870967,650.158,651.157,-122.82535459,102.17166525,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,20,2000.0,2025-10-02 20:46:07.679000+00:00,2025-10-02 13:46:07.679,00:00:07.3,74767679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0633521642857142,0.320146369047619,-2.1429486904761905,-0.3114847857142857,-0.058012619047619,0.9396424523809525,0.3958476904761904,-0.0412113059523809,0.0957527809523809,47.60051397,,0.060297619047619,0.0417023809523809,650.158,651.157,-122.82535459,102.17166525,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,21,2100.0,2025-10-02 20:46:07.779000+00:00,2025-10-02 13:46:07.779,00:00:07.4,74767779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0625077528089887,0.3200762134831461,-2.143187415730337,-0.3108640561797752,-0.0537995314606741,0.939662011235955,0.5458474044943821,-0.0903362685393258,0.1000803123595505,47.60051397,,0.061,0.0414606741573033,650.158,651.157,-122.82535459,102.17166525,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,22,2200.0,2025-10-02 20:46:07.879000+00:00,2025-10-02 13:46:07.879,00:00:07.5,74767879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0617751621052631,0.3201154631578947,-2.143414736842105,-0.309905,-0.0519893778947368,0.9397736105263158,0.3567336105263158,0.1397219821052631,0.1148832778947368,47.60051397,,0.0604526315789473,0.042,650.158,651.157,-122.82535459,102.17166525,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,23,2300.0,2025-10-02 20:46:07.979000+00:00,2025-10-02 13:46:07.979,00:00:07.6,74767979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0613780319148936,0.3203087872340425,-2.1435448936170216,-0.3090222978723404,-0.0516327404255319,0.9399575212765956,0.2429631489361702,0.0742692436170212,0.0295064978723404,47.60051397,,0.06,0.0413936170212766,650.158,651.157,-122.82535459,102.17166525,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,24,2400.0,2025-10-02 20:46:08.079000+00:00,2025-10-02 13:46:08.079,00:00:07.7,74768079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0612080542168674,0.3203461325301205,-2.1436075903614458,-0.3099754337349397,-0.0514203096385542,0.9399896626506024,-0.003425813253012,0.0145902819277108,-0.0312466084337349,47.60051397,,0.06,0.041,650.158,651.157,-122.82535459,102.17166525,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,25,2500.0,2025-10-02 20:46:08.179000+00:00,2025-10-02 13:46:08.179,00:00:07.8,74768179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0612999822695035,0.3202719361702127,-2.143564609929078,-0.3086237375886525,-0.0533880985815602,0.9399456312056738,-0.1171438829787234,-0.0715332496453901,-0.1001298262411347,47.60051397,,0.06,0.0415673758865248,650.158,651.157,-122.82535459,102.17166525,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,26,2600.0,2025-10-02 20:46:08.279000+00:00,2025-10-02 13:46:08.279,00:00:07.9,74768279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0614533225806451,0.3202174838709677,-2.1435006451612906,-0.3099069677419355,-0.0577522709677419,0.9399604838709678,-0.0546154451612903,-0.0737917612903225,-0.0485192580645161,47.60051397,,0.06,0.042,650.158,651.157,-122.82535459,102.17166525,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,27,2700.0,2025-10-02 20:46:08.379000+00:00,2025-10-02 13:46:08.379,00:00:08.0,74768379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0613257139240506,0.3202466582278481,-2.143541518987342,-0.3111528860759494,-0.0594576177215189,0.940048848101266,0.2064354582278481,0.1722642708860759,0.1301902405063291,47.60051397,,0.0605822784810126,0.042,650.158,651.157,-122.82535459,102.17166525,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,28,2800.0,2025-10-02 20:46:08.479000+00:00,2025-10-02 13:46:08.479,00:00:08.1,74768479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.060846764893617,0.3204690319148936,-2.143699787234042,-0.3090443617021276,-0.0552942287234042,0.9401465638297872,0.0888448064893617,0.159579829787234,0.0698156457446808,47.60051397,,0.0602872340425531,0.042,650.158,651.157,-122.82535459,102.17166525,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,29,2900.0,2025-10-02 20:46:08.579000+00:00,2025-10-02 13:46:08.579,00:00:08.2,74768579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0607669582417582,0.3207654065934066,-2.1437640659340658,-0.3137052527472527,-0.0552920494505494,0.9402006703296704,-0.1675123325274725,0.2309111208791208,-0.0051640032967033,47.60051397,,0.06,0.0411978021978022,650.158,651.157,-122.82535459,102.11745837,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,30,3000.0,2025-10-02 20:46:08.679000+00:00,2025-10-02 13:46:08.679,00:00:08.3,74768679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0608541954545454,0.3208398787878788,-2.1437451515151515,-0.3120211666666667,-0.0582119878787878,0.9401088484848484,-0.0368280484848485,0.0844121242424242,-0.0290306151515151,47.60051397,,0.0606212121212121,0.041,650.158,651.157,-122.82535459,102.10409229,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,31,3100.0,2025-10-02 20:46:08.779000+00:00,2025-10-02 13:46:08.779,00:00:08.4,74768779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0608884352112676,0.3208446056338028,-2.1437335211267605,-0.309342,-0.0570891154929577,0.9399835070422536,-0.0560953126760563,0.002767728169014,-0.0512483957746478,47.60051397,,0.0606478873239436,0.041,650.158,651.157,-122.82535459,102.10409229,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,32,3200.0,2025-10-02 20:46:08.879000+00:00,2025-10-02 13:46:08.879,00:00:08.5,74768879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0608620493975903,0.320833891566265,-2.143743855421687,-0.3076712289156627,-0.0520363927710843,0.939838903614458,-0.2578879585542168,0.0344780638554216,-0.0658503144578313,47.60051397,,0.06,0.041,650.158,651.157,-122.82535459,102.10409229,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,33,3300.0,2025-10-02 20:46:08.979000+00:00,2025-10-02 13:46:08.979,00:00:08.6,74768979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0608390309859154,0.320879485915493,-2.14377647887324,-0.308614176056338,-0.0534076014084507,0.9396144084507042,-0.0070643358450704,-0.0170070373239436,0.039668564084507,47.60051397,,0.06,0.0411760563380281,650.158,651.157,-122.82535459,102.10409229,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,34,3400.0,2025-10-02 20:46:09.079000+00:00,2025-10-02 13:46:09.079,00:00:08.7,74769079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0608763549295774,0.3209534295774647,-2.143762394366197,-0.3112148802816901,-0.0567852070422535,0.9396200422535212,-0.0561713992253521,0.2787964133802817,0.0409496204225352,47.60051397,,0.06,0.0418802816901408,650.158,651.157,-122.82535459,102.10409229,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,35,3500.0,2025-10-02 20:46:09.179000+00:00,2025-10-02 13:46:09.179,00:00:08.8,74769179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.061187969117647,0.3211661764705882,-2.143705073529412,-0.3133224926470588,-0.0573792955882352,0.9397400073529412,-0.0645196,0.2436460955882353,0.0420418294117647,47.60051397,,0.06,0.0413897058823529,650.158,651.157,-122.82535459,102.10409229,0.0,0.0,82.0,22.5,22.6,0.922,100,True
,36,3600.0,2025-10-02 20:46:09.279000+00:00,2025-10-02 13:46:09.279,00:00:08.9,74769279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0613383775193798,0.3213446434108527,-2.143666356589148,-0.3131556201550387,-0.0568816674418604,0.9397507829457364,-0.0137070620155038,0.1125368007751938,0.0389255286821705,47.60051397,,0.06,0.041,650.158,651.157,-122.82535459,102.10409229,0.0,0.0,82.0,22.5,22.6,0.922,100,True
