ride_id,sample_idx,_elapsed_ms,ts_utc,ts_pst,video_ts_anchor,ms_today,cf_accel,cf_brake,cf_cruise,cf_turn_left,cf_turn_right,cf_carve_left,cf_carve_right,cf_ascent,cf_descent,cf_traction_loss,cf_idle,cf_forward,cf_reverse,speed_meters_per_sec,erpm,duty_cycle,current_in,current_motor,d_axis_current,q_axis_current,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,gnss_lat,fault_code,d_axis_voltage,q_axis_voltage,tacho_meters,tacho_abs_meters,gnss_lon,gnss_alt,gnss_gVel,gnss_vVel,input_voltage,temp_mos_max,temp_motor,battery_level,dt_ms,_on_grid
ride_33,0,0.0,2025-09-28 21:05:07.393000+00:00,2025-09-28 14:05:07.393,00:00:04.7,75907393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,-0.01,-0.05,0.03,0.0328497,0.329258,-1.43268,-0.319145,-0.0266905,0.937829,-0.507384,-0.0933743,-0.196743,47.59950191,0.0,-0.041,0.024,2136.86,2142.61,-122.83054282,104.70297081,0.0,0.0,81.1,27.6,33.6,0.862,100,True
,1,100.0,2025-09-28 21:05:07.493000+00:00,2025-09-28 14:05:07.493,00:00:04.8,75907493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0639569906976744,0.3344551162790697,-2.003357209302325,-0.3266530232558139,-0.0616366209302325,0.9353896511627906,0.2315396465116279,-0.0851291162790697,0.2907161860465116,47.59950191,,-0.066,0.032953488372093,2136.86,2142.61,-122.83054282,104.70297081,0.0,0.0,81.1,27.6,33.6,0.862,100,True
,2,200.0,2025-09-28 21:05:07.593000+00:00,2025-09-28 14:05:07.593,00:00:04.9,75907593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0634978102040816,0.3347815306122448,-2.003744897959184,-0.3287304897959183,-0.0591258122448979,0.935886693877551,0.0565702040816326,-0.0072999530612244,0.1171659183673469,47.59950191,,-0.0661836734693877,0.0321836734693877,2136.86,2142.61,-122.83054282,104.70297081,0.0,0.0,81.1,27.6,33.6,0.862,100,True
,3,300.0,2025-09-28 21:05:07.693000+00:00,2025-09-28 14:05:07.693,00:00:05.0,75907693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0634656720930232,0.3348422093023256,-2.003944186046512,-0.3280208837209302,-0.0616463395348837,0.936038511627907,-0.052284,0.0342464906976744,0.1836565116279069,47.59950191,,-0.0667674418604651,0.033,2136.86,2142.61,-122.83054282,104.70297081,0.0,0.0,81.1,27.6,33.6,0.862,100,True
,4,400.0,2025-09-28 21:05:07.793000+00:00,2025-09-28 14:05:07.793,00:00:05.1,75907793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0634410227272727,0.3347204090909091,-2.0041711363636363,-0.3268622272727273,-0.0648431113636363,0.9360144090909092,0.0238145681818181,-0.0200956159090909,0.1232343022727272,47.59950191,,-0.066,0.0326136363636363,2136.86,2142.61,-122.83054282,104.68225948204544,0.0,0.0,81.1,27.6,33.6,0.862,100,True
,5,500.0,2025-09-28 21:05:07.893000+00:00,2025-09-28 14:05:07.893,00:00:05.2,75907893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0632524770833333,0.3345992708333333,-2.0044150000000003,-0.3236608125,-0.0633308104166666,0.9359760208333332,0.1141950041666666,0.04636496875,0.0620531770833333,47.59950191,,-0.066,0.0324791666666666,2136.86,2142.61,-122.83054282,104.64936502,0.0,0.0,81.1,27.6,33.6,0.862,100,True
,6,600.0,2025-09-28 21:05:07.993000+00:00,2025-09-28 14:05:07.993,00:00:05.3,75907993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0631046875968992,0.3346104263565891,-2.004602015503876,-0.3258557131782946,-0.0637138736434108,0.9360548604651162,0.0810624,0.0925516899224806,0.1010879069767441,47.59950191,,-0.066,0.033,2136.86,2142.61,-122.83054282,104.64936502,0.0,0.0,81.1,27.6,33.6,0.862,100,True
,7,700.0,2025-09-28 21:05:08.093000+00:00,2025-09-28 14:05:08.093,00:00:05.4,75908093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0631134311475409,0.3346432131147541,-2.0047160655737706,-0.328310475409836,-0.0640567393442622,0.9361413114754098,0.064356268852459,0.0496182786885245,0.0949293278688524,47.59950191,,-0.066,0.0328852459016393,2136.86,2142.61,-122.83054282,104.64936502,0.0,0.0,81.1,27.6,33.6,0.862,100,True
,8,800.0,2025-09-28 21:05:08.193000+00:00,2025-09-28 14:05:08.193,00:00:05.5,75908193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0631897699453551,0.3347585136612022,-2.0047925683060117,-0.3275651202185792,-0.0630593076502732,0.9362380327868852,-0.0151967366120218,0.0492967486338797,0.0635118415300546,47.59950191,,-0.066,0.0323387978142076,2136.86,2142.61,-122.83054282,104.64936502,0.0,0.0,81.1,27.6,33.6,0.862,100,True
,9,900.0,2025-09-28 21:05:08.293000+00:00,2025-09-28 14:05:08.293,00:00:05.6,75908293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0633693227272727,0.3348839772727273,-2.0049825,-0.3264621818181818,-0.0622047818181818,0.9362699318181816,0.000987175,0.0798854318181818,0.0986605909090909,47.59950191,,-0.066,0.0324318181818181,2136.86,2142.61,-122.83054282,104.64936502,0.0,0.0,81.1,27.6,33.6,0.862,100,True
