ride_id,sample_idx,_elapsed_ms,ts_utc,ts_pst,video_ts_anchor,ms_today,cf_accel,cf_brake,cf_cruise,cf_turn_left,cf_turn_right,cf_carve_left,cf_carve_right,cf_ascent,cf_descent,cf_traction_loss,cf_idle,cf_forward,cf_reverse,speed_meters_per_sec,erpm,duty_cycle,current_in,current_motor,d_axis_current,q_axis_current,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,gnss_lat,fault_code,d_axis_voltage,q_axis_voltage,tacho_meters,tacho_abs_meters,gnss_lon,gnss_alt,gnss_gVel,gnss_vVel,input_voltage,temp_mos_max,temp_motor,battery_level,dt_ms,_on_grid
ride_31,0,0.0,2025-09-28 20:59:59.992000+00:00,2025-09-28 13:59:59.992,00:00:05.0,75599992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.98,3.89,0.01,3.29,0.0162436,0.267727,-1.83546,-0.265065,-0.0163061,0.954794,0.0113302,0.0497485,0.107644,47.59972295,0.0,-0.338,3.173,1163.27,1168.0,-122.83505077,122.71014294,0.0,0.0,81.2,25.8,29.2,0.872,100,True
,1,100.0,2025-09-28 21:00:00.092000+00:00,2025-09-28 14:00:00.092,00:00:05.1,75600092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.006408752,0.3271562,-0.7707914,-0.316766,-0.003568664,0.9383862,0.0876674799999999,0.2448065999999999,0.0146228799999999,47.59972295,,-0.0052,0.0737999999999999,1163.27,1168.0,-122.83505077,122.71014294,0.0,0.0,81.2,25.8,29.2,0.872,100,True
,2,200.0,2025-09-28 21:00:00.192000+00:00,2025-09-28 14:00:00.192,00:00:05.2,75600192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0063908279999999,0.3272050888888889,-0.7708897111111112,-0.3184018222222222,-0.0105044444444444,0.9383698,0.0951700771111111,0.1011212888888888,-0.0407828044444444,47.59972295,,-0.006,0.073,1163.27,1168.0,-122.83505077,122.71014294,0.0,0.0,81.2,25.8,29.2,0.872,100,True
,3,300.0,2025-09-28 21:00:00.292000+00:00,2025-09-28 14:00:00.292,00:00:05.3,75600292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0063493651063829,0.3272005106382978,-0.7710098085106383,-0.3207743191489361,-0.0109883404255319,0.9382931276595744,0.0297573689361702,-0.1762972978723404,-0.003796229787234,47.59972295,,-0.005595744680851,0.0734042553191489,1163.27,1168.0,-122.83505077,122.71014294,0.0,0.0,81.2,25.8,29.2,0.872,100,True
,4,400.0,2025-09-28 21:00:00.392000+00:00,2025-09-28 14:00:00.392,00:00:05.4,75600392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0064470661870503,0.3268870215827338,-0.7710907410071942,-0.321264035971223,-0.0110975251798561,0.9380532446043164,0.098954798561151,-0.3229602517985611,0.0557426302158273,47.59972295,,-0.0053165467625899,0.07368345323741,1163.27,1168.0,-122.83505077,122.71014294,0.0,0.0,81.2,25.8,29.2,0.872,100,True
,5,500.0,2025-09-28 21:00:00.492000+00:00,2025-09-28 14:00:00.492,00:00:05.5,75600492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0064708921875,0.3264376458333333,-0.7711467916666667,-0.3206243125,-0.0095189572916666,0.93778290625,0.1286850520833333,-0.3630813020833333,0.0979128010416666,47.59972295,,-0.0059479166666666,0.0730520833333333,1163.27,1168.0,-122.83505077,122.71014294,0.0,0.0,81.2,25.8,29.2,0.872,100,True
,6,600.0,2025-09-28 21:00:00.592000+00:00,2025-09-28 14:00:00.592,00:00:05.6,75600592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0064436798701298,0.3257242727272727,-0.7712392597402598,-0.317617961038961,0.0003297632467532,0.9375851428571428,-0.2662805974025974,-0.2144279649350649,0.056218512987013,47.59972295,,-0.005,0.0738831168831168,1163.27,1168.0,-122.83505077,122.71014294,0.0,0.0,81.2,25.8,29.2,0.872,100,True
,7,700.0,2025-09-28 21:00:00.692000+00:00,2025-09-28 14:00:00.692,00:00:05.7,75600692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0067878898019801,0.3259585841584158,-0.7713021287128713,-0.3164273564356435,-0.0075153808910891,0.9383382178217822,-0.1639768831683168,-0.135651399009901,0.0066420188118811,47.59972295,,-0.0053168316831683,0.0733168316831683,1163.27,1168.0,-122.83505077,122.71014294,0.0,0.0,81.2,25.8,29.2,0.872,100,True
,8,800.0,2025-09-28 21:00:00.792000+00:00,2025-09-28 14:00:00.792,00:00:05.8,75600792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0070512839370078,0.3258225354330709,-0.7713432125984252,-0.3174534803149606,-0.0079718530708661,0.938502559055118,-0.0645196,-0.1112880472440945,0.0456745149606299,47.59972295,,-0.005755905511811,0.073755905511811,1163.27,1168.0,-122.83505077,122.70622861637796,0.0,0.0,81.2,25.8,29.2,0.872,100,True
,9,900.0,2025-09-28 21:00:00.892000+00:00,2025-09-28 14:00:00.892,00:00:05.9,75600892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0075110991578947,0.3258260421052631,-0.7713213473684211,-0.3144468210526316,-0.0097110949052631,0.9387943263157896,-0.0557113221052631,0.2590781263157894,0.0411110631578947,47.59972295,,-0.005,0.0730421052631579,1163.27,1168.0,-122.83505077,122.69410684,0.0,0.0,81.2,25.8,29.2,0.872,100,True
