ride_id,sample_idx,_elapsed_ms,ts_utc,ts_pst,video_ts_anchor,ms_today,cf_accel,cf_brake,cf_cruise,cf_turn_left,cf_turn_right,cf_carve_left,cf_carve_right,cf_ascent,cf_descent,cf_traction_loss,cf_idle,cf_forward,cf_reverse,speed_meters_per_sec,erpm,duty_cycle,current_in,current_motor,d_axis_current,q_axis_current,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,gnss_lat,fault_code,d_axis_voltage,q_axis_voltage,tacho_meters,tacho_abs_meters,gnss_lon,gnss_alt,gnss_gVel,gnss_vVel,input_voltage,temp_mos_max,temp_motor,battery_level,dt_ms,_on_grid
ride_52,0,0.0,2025-10-02 20:57:14.046000+00:00,2025-10-02 13:57:14.046,00:00:04.5,75434046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,2.46,5.29,-0.04,4.69,0.00839602,0.35358,0.504032,-0.345474,-0.0629575,0.933222,-5.29324,0.869297,-1.89487,47.59773366,0.0,-1.365,11.369,2453.29,2465.62,-122.82562121,100.24368152,0.0,0.0,80.9,27.0,32.0,0.852,100,True
,1,100.0,2025-10-02 20:57:14.146000+00:00,2025-10-02 13:57:14.146,00:00:04.6,75434146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0539836023529411,0.3211642117647059,-3.0904281176470585,-0.3143336,-0.0559800082352941,0.9421382705882352,-0.082567934117647,-0.0637040376470588,0.0467710211764705,47.59773366,,0.006,-0.074,2453.29,2465.62,-122.82562121,100.24368152,0.0,0.0,80.9,27.0,32.0,0.852,100,True
,2,200.0,2025-10-02 20:57:14.246000+00:00,2025-10-02 13:57:14.246,00:00:04.7,75434246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.054359640860215,0.3211861505376344,-3.0905667741935483,-0.3113017634408602,-0.0600788161290322,0.9422298172043012,-0.2429739354838709,0.0996851440860215,0.0591724215053763,47.59773366,,0.0057204301075268,-0.074,2453.29,2465.62,-122.82562121,100.24368152,0.0,0.0,80.9,27.0,32.0,0.8522795698924731,100,True
,3,300.0,2025-10-02 20:57:14.346000+00:00,2025-10-02 13:57:14.346,00:00:04.8,75434346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.054852744680851,0.3211493936170213,-3.090638085106383,-0.3111662978723404,-0.0528805904255319,0.942220659574468,-0.2412308510638297,0.0497610319148936,0.1088707765957446,47.59773366,,0.0053510638297872,-0.0743510638297872,2453.29,2465.62,-122.82562121,100.24368152,0.0,0.0,80.9,27.0,32.0,0.853,100,True
,4,400.0,2025-10-02 20:57:14.446000+00:00,2025-10-02 13:57:14.446,00:00:04.9,75434446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0552325763779527,0.3211560393700787,-3.0907483464566927,-0.3149668976377952,-0.0520531291338582,0.9422315118110236,-0.1221615590551181,0.0284300023622047,0.1251077462204724,47.59773366,,0.006,-0.0746929133858267,2453.29,2465.62,-122.82562121,100.2270066431496,0.0,0.0,80.9,27.0,32.0,0.853,100,True
,5,500.0,2025-10-02 20:57:14.546000+00:00,2025-10-02 13:57:14.546,00:00:05.0,75434546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.055340714893617,0.3210942765957447,-3.090896595744681,-0.3154397021276595,-0.0565015319148936,0.942157659574468,-0.2329811106382979,-0.0211913510638297,0.016173119787234,47.59773366,,0.0058723404255319,-0.074127659574468,2453.29,2465.62,-122.82562121,100.18938128,0.0,0.0,80.9,27.0,32.0,0.853,100,True
,6,600.0,2025-10-02 20:57:14.646000+00:00,2025-10-02 13:57:14.646,00:00:05.1,75434646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.05544735,0.3209737391304347,-3.0911097826086955,-0.3139229782608695,-0.0553113152173913,0.9420387608695652,0.0747340043478261,-0.0057499869565217,0.1866703478260869,47.59773366,,0.005195652173913,-0.0748043478260869,2453.29,2465.62,-122.82562121,100.18938128,0.0,0.0,80.9,27.0,32.0,0.853,100,True
,7,700.0,2025-10-02 20:57:14.746000+00:00,2025-10-02 13:57:14.746,00:00:05.2,75434746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0550844782608695,0.3209598695652174,-3.091582173913044,-0.3147445217391304,-0.0507845239130434,0.9420347173913044,0.0183790497826086,0.0703522695652174,0.1877808978260869,47.59773366,,0.0057173913043478,-0.074,2453.29,2465.62,-122.82562121,100.18938128,0.0,0.0,80.9,27.0,32.0,0.853,100,True
,8,800.0,2025-10-02 20:57:14.846000+00:00,2025-10-02 13:57:14.846,00:00:05.3,75434846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0550266078651685,0.3209040449438202,-3.091854606741573,-0.3141089887640449,-0.0544312820224719,0.9420381123595506,0.0075495556179775,0.0658233303370786,0.0643841629213483,47.59773366,,0.005,-0.074,2453.29,2465.62,-122.82562121,100.18938128,0.0,0.0,80.9,27.0,32.0,0.853,100,True
,9,900.0,2025-10-02 20:57:14.946000+00:00,2025-10-02 13:57:14.946,00:00:05.4,75434946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0546822392857142,0.3206525,-3.0922489285714283,-0.3138241071428571,-0.0516234178571428,0.9418549642857144,0.2859356285714286,-0.2064434892857143,0.2367567857142857,47.59773366,,0.0055357142857142,-0.0745357142857142,2453.29,2465.62,-122.82562121,100.18938128,0.0,0.0,80.9,27.0,32.0,0.853,100,True
